year,province_territory,total_workers,total_count_per_100000,total_percent_female,total_percent_age_under_30,total_percent_age_30_to_59,total_percent_age_over_60
2019,Alberta,6170,141.7,47.94509527170078,6.200776287932251,73.48087508821455,20.31834862385321
2019,British Columbia,7201,140.9,47.74073811213626,6.220085166784953,69.08452803406672,24.69538679914833
2019,Manitoba,1708,124.6,47.2008025682183,8.24895666131621,71.161797752809,20.589245585874803
2019,New Brunswick,1197,154,53.40025974025975,6.342077922077922,67.31045454545453,26.347467532467533
2019,Newfoundland and Labrador,875,165.8,51.25518697225573,5.283775633293124,75.6043425814234,19.190952955367912
2019,Northwest Territories,84,139.7,77.12290622763065,4.829849677881174,69.41181102362205,25.758339298496775
2019,Nova Scotia,1499,153.6,52.880924479166666,6.065234374999999,67.3779296875,26.556835937499994
2019,Nunavut,64,100.19999999999999,64.51317365269462,2.579041916167665,71.77185628742517,25.649101796407187
2019,Ontario,20314,139.4,53.924677187948355,6.332926829268293,71.0812769010043,22.5857962697274
2019,Prince Edward Island,219,140.6,49.278805120910384,5.553342816500712,67.84423897581793,26.602418207681367
2019,Quebec,11331,133.5,58.23955056179775,7.056179775280899,65.95258426966292,26.996029962546814
2019,Saskatchewan,1599,137.4,46.91906841339155,6.712445414847163,71.04679767103347,22.24075691411936
2019,Yukon,77,187,54.588823529411755,1.3050802139037432,62.295828877005334,23.404438502673795
2020,Alberta,6098,138.4,49.48417630057803,5.975361271676301,74.91452312138729,19.100216763005783
2020,British Columbia,7424,143.4,48.5231520223152,6.186610878661087,70.21004184100418,23.603347280334727
2020,Manitoba,1727,125.19999999999999,47.74672523961661,8.157587859424922,71.36661341853035,20.462300319488822
2020,New Brunswick,1220,155.70000000000002,54.92601156069363,5.871676300578034,67.54393063583815,26.49653179190751
2020,Newfoundland and Labrador,875,166.10000000000002,53.41920529801324,5.110596026490066,76.4046357615894,18.428476821192053
2020,Northwest Territories,119,184,75.79081521739131,2.442934782608696,71.62467391304348,25.932391304347824
